NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć. wiek (w miesiącach). waga;+;++;+++;Kości;
2572;525;lubelskie;06200 Zamość;0620 zamojski;Sułów;Rozłopy;zagrożenia;50.7238694;22.96961;32;14.05.2020;19.05.2020;03.06.2020;P/20/23431;ELISA+IPT+;1;odstrzelony;samica - 24 m - 35 kg;0;0;0;0;
2573;526;lubelskie;06200 Zamość;0620 zamojski;Skierbieszów;Zabytów;zagrożenia;50.874088;23.26328;32;18.05.2020;19.05.2020;03.06.2020;P/20/23431;ELISA+IPT+;1;odstrzelony;samica - 24 m - 48 kg;0;0;0;0;
2574;2194/133;mazowieckie;14250 Radom;1425 radomski;Iłża;Marcule (621);objęty ograniczeniami;51.093206;21.267867;32;28.05.2020;01.06.2020;03.06.2020;p/20/23394;ELISA+IPT+;1;odstrzelony;1.samiec - 48 m - 100 kg;1;0;0;0;
2575;79;podlaskie;20110 Sokółka;2011 sokólski;Krynki;Koniecbór;objęty ograniczeniami;53.17877;23.73012;32;26.05.2020;28.05.2020;03.06.2020;P/20/23513;IPT+;1;odstrzelony;samiec - 40 kg, 1 rok;0;0;0;0;
2576;928/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Kronówko;zagrożenia;53.8989;20.7121;32;22.05.2020;26.05.2020;02.06.2020;P/20/23281;RT-PCR+;1;odstrzelony;samiec - 18 m - 24 kg;;;;
2577;929/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Kiersztanowo;zagrożenia;53.9267;20.7733;32;12.05.2020;19.05.2020;02.06.2020;P/20/23272;RT-PCR+;1;odstrzelony;samiec - 16 m - 48 kg;;;;
2578;930/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Kiersztanowo;zagrożenia;53.9259;20.7702;32;16.05.2020;19.05.2020;02.06.2020;P/20/23272;RT-PCR+;1;odstrzelony;samiec - 24 m - 50 kg;;;;
2579;931/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Biskupiec;Kramarka;objęty ograniczeniami;53.8407;20.9521;32;24.05.2020;26.05.2020;02.06.2020;P/20/23276;RT-PCR+;1;odstrzelony;samiec - 36 m - 65 kg;;;;
2580;932/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Maruny;zagrożenia;53.8504;20.6491;32;23.05.2020;26.05.2020;02.06.2020;P/20/23275;RT-PCR+;1;odstrzelony;samica - 12 m - 18 kg;;;;
2581;933/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Maruny;zagrożenia;53.8492;20.6747;32;23.05.2020;26.05.2020;02.06.2020;P/20/23275;RT-PCR+;1;odstrzelony;samiec - 12 m - 34 kg;;;;
2582;934/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Łapka;zagrożenia;53.8677;20.7338;30;15.05.2020;19.05.2020;02.06.2020;P/20/23271;RT-PCR+;1;padły/padłe;samica - 16 m - 30 kg;1;;;;
2583;935/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dywity;Frączki;zagrożenia;53.9353;20.5873;32;19.05.2020;26.05.2020;02.06.2020;P/20/23332;IPT+;1;odstrzelony;samica - 24 m - 40 kg;;;;
2584;936/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dobre Miasto;Wichrowo;zagrożenia;54.0270;20.4442;32;19.05.2020;26.05.2020;02.06.2020;P/20/23332;IPT+;1;odstrzelony;samica - 24 m - 38 kg;;;;
