NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2056;128;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Pawłowa;objęty ograniczeniami;50.261061;22.7695;32;06.04.2020;08.04.2020;20.04.2020;P/20/17474;RT-PCR+;3;padły/padłe;"1. samica - 48 m - 100 kg,2. nieokreślona, 12 m - 20 kg,3. samiec - 36 m - 100 kg";1;;2;;;
2057;129;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Majdan Sieniawski;objęty ograniczeniami;50.283781;22.746839;32;07.04.2020;08.04.2020;20.04.2020;P/20/17474;RT-PCR+;1;padły/padłe;1. nieokreślona, 24 m - 60 kg;;;1;;;
2058;106;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Przemęt ;Solec Nowy ;objęty ograniczeniami;52.044089;16.210918;32;06.04.2020;07.04.2020;20.04.2020;P/20/17465;RT-PCR+;1;padły/padłe;1. samiec - 12 m - 25 kg ;1;0;0;0;;
2059;107;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Wolsztyn ;Borki ;objęty ograniczeniami;52.061087;16.22495;32;08.04.2020;09.04.2020;20.04.2020;P/20/17465;RT-PCR+;6;padły/padłe;"1. samica - 12 m - 25 kg,2. samica . 48 m - 80 kg ,3. płeć nie okreslona, 36 m - 60 kg ,4. płeć nie określona, 12 m - 30 kg ,5. płec nie określona, 24 m - 55 kg ,6. płeć nie okreslona, 12 m - 30 kg  ";0;3;3;0;;
2060;108;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;Wolsztyn ;Błocko ;objęty ograniczeniami;52.071652;16.241377;32;08.04.2020;09.04.2020;20.04.2020;P/20/17465;RT-PCR+;1;padły/padłe;1. płeć nie określona , 36 m - 60 kg ;0;0;1;0;;
2061;109;wielkopolskie;30130 Leszno;3013 leszczyński;Wijewo;Zaborówiec;objęty ograniczeniami;51.9175;16.30416667;32;06.04.2020;08.04.2020;17.04.2020;P/20/17387;RT-PCR+;1;padły/padłe;locha, 12 m, ok.45 kg;0;1;0;0;;
2062;110;wielkopolskie;30130 Leszno;3013 leszczyński;Wijewo;Zaborówiec;objęty ograniczeniami;51.9175;16.27611111111111;32;06.04.2020;08.04.2020;17.04.2020;P/20/17388;RT-PCR+;1;padły/padłe;locha, 2 l, 50 kg;0;0;0;1;;
2063;111;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Włoszakowice;objęty ograniczeniami;51.9252778;16.304444444444446;32;06.04.2020;08.04.2020;20.04.2020;P/20/17471;RT-PCR+;1;padły/padłe;locha, 2 l, 55 kg;0;1;0;0;;
2064;112;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Rakoniewice;objęty ograniczeniami;52.115792;16.233525;32;08.04.2020;09.04.2020;17.04.2020;P/20/16826;RT-PCR+;1;padły/padłe;samica - 6 m - 15 kg;0;0;1;0;;
2065;741/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Pasłęk;Kwitajny;zagrożenia;54.02177;19.79174;30;02.04.2020;07.04.2020;16.04.2020;P/20/17078;RT-PCR+;1;padły/padłe;1. samica - 24 m - 60 kg;;;1;;;
